id,org_name,created,modified,name,type,description,category,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,organization,extent,industries
bba3d0a070d34cea9a303c24a71d5190,esri_livefeeds2,"Tue, 11 Jun 2019 23:26:23 GMT","Thu, 06 Mar 2025 00:58:16 GMT",USA Short-Term Weather Warnings,Feature Service,"The National Weather Service issues warnings for severe weather that are imminent or actively occurring. This layer shows shorter-term warnings for the following events: Special Marine Warnings - potentially hazardous weather conditions of short duration (up to 2 hours) that may include sustained winds or gusts of 39 mph or greater, hail 0.75” or greater in diameter, or waterspouts. Severe Thunderstorm Warnings - storms with winds of 58 mph or higher or hail 1” or greater in diameter. Tornado Warnings - imminent or active tornados. Extreme Wind Warnings - surface winds of 115 mph or greater associated with non-convective, downslope, derecho, or sustained hurricane winds are expected to occur within one hour. Flash Flood Warnings - conditions are favorable for flash flooding. It does not mean that flash flooding will occur, but it is possible. Source Current Warnings: https://www.weather.gov/source/crh/shapefiles/CurrentWarnings.tar.gz Sample Data See Sample Layer Item for sample data during Weather inactivity! Update Frequency The service is updated every 5 minutes using the Aggregated Live Feeds methodology. Area Covered Contiguous United States What can you do with this layer? Customize the display of each attribute by using the Change Style option for any layer. Query the layer to display only specific types of weather watches and warnings. Add to a map with other weather data layers to provide inside on hazardous weather events. Use ArcGIS Online analysis tools, such as Enrich Data, to determine the potential impact of weather events on populations. This map is provided for informational purposes and is not monitored 24/7 for accuracy and currency. If you would like to be alerted to potential issues or simply see when this Service will update next, please visit our Live Feed Status Page!","Esri,NOAA,Weather,Severe Weather,NWS,Thunderstorm,Tornado,Flash Flood,Marine,Risk,Landscape,Hazards,hosted,esri_environment,earth observations,NOAA_short_term_warnings,Live Feeds,livefeeds",This layer presents continuously updated weather warnings for the United States based on data from NOAA's National Weather Service.,,"Esri, NOAA",This work is licensed under the Esri Master License Agreement. View Summary | View Terms of Use,en-us,https://services9.arcgis.com/RHVPKKiFTONKtxq3/arcgis/rest/services/NOAA_short_term_warnings_v1/FeatureServer,public,custom,Esri,"-179.99999550841463,-88.99999992161116,179.99999550841463,88.99999992161116",
66224c1069c94f04b703376ac15061a1,jill.mathias@coloradosprings.gov_coloradosprings,"Fri, 06 Jan 2017 19:50:14 GMT","Thu, 06 Mar 2025 00:54:00 GMT",PrimaryRoutes,Web Map,"Background Despite the infrequency of storms, the City of Colorado Springs Streets  Division must be prepared for minor and major snowstorms from September  through May. The City's Streets Division is responsible for servicing  over 7,431 lane miles of roadway, extending over a 194 square mile area.  While average annual snowfall stands at 42 inches, snow can pile up  quickly, at varying rates throughout the City. Elevation and wind can  compound accumulation, causing an immediate impact on the City's  mobility. Hence, the need for safe and passable streets is a priority  for the Streets Division. Route Type Primary Routes, which are multi-lane roads with large volumes of traffic or hospital access, are treated first. Once the primary routes are passable, snow crews move on to Secondary Routes, which includes school access and collector streets that serve as the  main connections between neighborhoods and primary roads. If  there is continuous snowfall, the Primary Routes may have to be plowed  more than once, which will delay the response on secondary streets. Street Treatments The City uses two materials on City streets.  The first material is  called ""anti-skid"" and is used on most snow routes.  Anti-skid can  contain up to 20 percent salt, and is used to aid in vehicle traction.   The second material is used on many of the City's thoroughfares and is  called ""IceSlicer.""  This material is a de-icer and will lower the  freezing temperature of water.  IceSlicer will work down to around 10  degrees. For more information about the City of Colorado Springs Street Division, please click here State and County Roads All State and County roads are maintained by their own staff. For information on snow removal on State or County roads, call: CDOT winter road conditions, (303) 639-1111 CDOT road maintenance office (Colorado Springs), (719) 634-2323 or (719) 576-1868 El Paso County Department of Transportation office, (719) 520-6460 Contact information City of Colorado Springs Streets Division, (719) 385-5934 24-Hour Answering Service, (719) 278-8352 Streets Division automated snow hotline, (719) 385-SNOW National Weather Service Forecast information for Colorado Springs, (303) 573-6846 What to Know for Snow City information - WinterStorms","Snow Route,Snow,Public Works,Colorado Springs,Antiskid,salt,Salt,Iceslicer",2014 Snow Routes,,,,en-us,,public,,City of Colorado Springs GIS,"-105.0069,38.7755,-104.4998,38.9965",
2ea01990c84941d2bf50827283a6cdf1,jill.mathias@coloradosprings.gov_coloradosprings,"Fri, 06 Jan 2017 20:14:54 GMT","Thu, 06 Mar 2025 00:53:41 GMT",SecondaryRoutes,Web Map,"Background Despite the infrequency of storms, the City of Colorado Springs Streets  Division must be prepared for minor and major snowstorms from September  through May. The City's Streets Division is responsible for servicing  over 7,431 lane miles of roadway, extending over a 194 square mile area.  While average annual snowfall stands at 42 inches, snow can pile up  quickly, at varying rates throughout the City. Elevation and wind can  compound accumulation, causing an immediate impact on the City's  mobility. Hence, the need for safe and passable streets is a priority  for the Streets Division. Route Type Primary Routes, which are multi-lane roads with large volumes of traffic or hospital access, are treated first. Once the primary routes are passable, snow crews move on to Secondary Routes, which includes school access and collector streets that serve as the  main connections between neighborhoods and primary roads. If  there is continuous snowfall, the Primary Routes may have to be plowed  more than once, which will delay the response on secondary streets. Street Treatments The City uses two materials on City streets.  The first material is  called ""anti-skid"" and is used on most snow routes.  Anti-skid can  contain up to 20 percent salt, and is used to aid in vehicle traction.   The second material is used on many of the City's thoroughfares and is  called ""IceSlicer.""  This material is a de-icer and will lower the  freezing temperature of water.  IceSlicer will work down to around 10  degrees. For more information about the City of Colorado Springs Street Division, please click here State and County Roads All State and County roads are maintained by their own staff. For information on snow removal on State or County roads, call: CDOT winter road conditions, (303) 639-1111 CDOT road maintenance office (Colorado Springs), (719) 634-2323 or (719) 576-1868 El Paso County Department of Transportation office, (719) 520-6460 Contact information City of Colorado Springs Streets Division, (719) 385-5934 24-Hour Answering Service, (719) 278-8352 Streets Division automated snow hotline, (719) 385-SNOW National Weather Service Forecast information for Colorado Springs, (303) 573-6846 What to Know for Snow City information - WinterStorms","Snow Route,Snow,Public Works,Colorado Springs,Antiskid,salt,Salt,Iceslicer",2014 Snow Routes,,,,en-us,,public,,City of Colorado Springs GIS,"-105.0322,38.8087,-104.5251,39.0296",
72585cf8dfe14ecdbb6d78cd93ff624f,jill.mathias@coloradosprings.gov_coloradosprings,"Fri, 06 Jan 2017 19:27:52 GMT","Thu, 06 Mar 2025 00:53:22 GMT",IceSlicerRoutes,Web Map,"Background Despite the infrequency of storms, the City of Colorado Springs Streets  Division must be prepared for minor and major snowstorms from September  through May. The City's Streets Division is responsible for servicing  over 7,431 lane miles of roadway, extending over a 194 square mile area.  While average annual snowfall stands at 42 inches, snow can pile up  quickly, at varying rates throughout the City. Elevation and wind can  compound accumulation, causing an immediate impact on the City's  mobility. Hence, the need for safe and passable streets is a priority  for the Streets Division. Route Type Primary Routes, which are multi-lane roads with large volumes of traffic or hospital access, are treated first. Once the primary routes are passable, snow crews move on to Secondary Routes, which includes school access and collector streets that serve as the  main connections between neighborhoods and primary roads. If  there is continuous snowfall, the Primary Routes may have to be plowed  more than once, which will delay the response on secondary streets. Street Treatments The City uses two materials on City streets.  The first material is  called ""anti-skid"" and is used on most snow routes.  Anti-skid can  contain up to 20 percent salt, and is used to aid in vehicle traction.   The second material is used on many of the City's thoroughfares and is  called ""IceSlicer.""  This material is a de-icer and will lower the  freezing temperature of water.  IceSlicer will work down to around 10  degrees. For more information about the City of Colorado Springs Street Division, please click here State and County Roads All State and County roads are maintained by their own staff. For information on snow removal on State or County roads, call: CDOT winter road conditions, (303) 639-1111 CDOT road maintenance office (Colorado Springs), (719) 634-2323 or (719) 576-1868 El Paso County Department of Transportation office, (719) 520-6460 Contact information City of Colorado Springs Streets Division, (719) 385-5934 24-Hour Answering Service, (719) 278-8352 Streets Division automated snow hotline, (719) 385-SNOW National Weather Service Forecast information for Colorado Springs, (303) 573-6846 What to Know for Snow City information - WinterStorms","Snow Route,Snow,Public Works,Colorado Springs,Antiskid,salt,Salt,Iceslicer",2014 Snow Routes,,,,en-us,,public,,City of Colorado Springs GIS,"-104.9826,38.7846,-104.4755,39.0056",
e109e8fd9c5a495c813b5cbaee9c7d9b,esri_livefeeds2,"Tue, 11 Jun 2019 23:48:36 GMT","Thu, 06 Mar 2025 00:49:12 GMT",USA Storm Reports,Feature Service,"This map contains continuously updated U.S. tornado reports, wind storm reports and hail storm reports. Click each feature to receive information about the specific location and read a short description about the issue. Now contains ALL available Incident Report types, for a total of 15, not just Hail; Wind; and Tornados. See new layer for details or Feature Layer Item with exclusive Past 24-Hour ALL Storm Reports Layer. Each layer is updated 4 times hourly from data provided by NOAA’s National Weather Service Storm Prediction Center. A full archive of storm events can be accessed from the NOAA National Centers for Environmental Information. Source NOAA Storm Prediction Center https://www.spc.noaa.gov/climo/reports NOAA ALL Storm Reports layer https://www.spc.noaa.gov/exper/reports Sample Data See Sample Layer Item for sample data during inactive periods! Update Frequency The service is updated every 15 minutes using the Aggregated Live Feeds Methodology Area Covered CONUS (Contiguous United States) What can you do with this layer? This map service is suitable for data discovery and visualization. Change the symbology of each layer using single or bi-variate smart mapping. For instance, use size or color to indicate the intensity of a tornado. Click each feature to receive information about the specific location and read a short description about the issue. Query the attributes to show only specific event types or locations. Revisions: Aug 10, 2021: Updated Classic Layers to use new Symbols. Corrected Layer Order Presentation. Updated Thumbnail. Aug 8, 2021: Update to layer-popups, correcting link URLs. Expanded length of 'Comment' fields to 1kb of text. New Layer added that includes ALL available Incident Types and Age in 'Hours Old'. This map is provided for informational purposes and is not monitored 24/7 for accuracy and currency. If you would like to be alerted to potential issues or simply see when this service will update next, please visit our Live Feed Status Page.","   NOAA,Esri,NOAA,NWS,Tornado,Wind,Hail,Storm,Reports,Live Feeds,earth observations,hazards,hosted,esri_environment,NOAA_storm_reports,livefeeds","This layer contains continuously updated U.S. tornado reports, wind storm reports and hail storm reports. ",,"NOAA, Esri",This work is licensed under the Esri Master License Agreement. View Summary | View Terms of Use,en-us,https://services9.arcgis.com/RHVPKKiFTONKtxq3/arcgis/rest/services/NOAA_storm_reports_v1/FeatureServer,public,custom,Esri,"-113.80000000022879,25.77000000012418,-67.9999999996173,48.97000000011181",
d957997ccee7408287a963600a77f61f,esri_livefeeds2,"Fri, 01 May 2020 01:43:09 GMT","Thu, 06 Mar 2025 00:43:57 GMT",USA Current Wildfires,Feature Service,"This layer presents the best-known point and perimeter locations of wildfire occurrences within the United States over the past 7 days.  Points mark a location within the wildfire area and provide current information about that wildfire. Perimeters are the line surrounding land that has been impacted by a wildfire. Consumption Best Practices:

As a service that is subject to very high usage, ensure 
peak performance and accessibility of your maps and apps by avoiding the
use of non-cacheable relative Date/Time field filters. To accommodate 
filtering events by Date/Time, we suggest using the included ""Age"" 
fields that maintain the number of days or hours since a record was 
created or last modified, compared to the last service update. These 
queries fully support the ability to cache a response, allowing common 
query results to be efficiently provided to users in a high demand 
service environment. When ingesting this service in your applications, avoid using POST
requests whenever possible. These requests can compromise performance 
and scalability during periods of high usage because they too are not 
cacheable. Source: Wildfire points are sourced from Integrated Reporting of Wildland-Fire Information (IRWIN) and perimeters from National Interagency Fire Center (NIFC). Current Incidents: This layer provides a near real-time view of the data being shared through the Integrated Reporting of Wildland-Fire Information (IRWIN) service. IRWIN provides data exchange capabilities between participating wildfire systems, including federal, state and local agencies. Data is synchronized across participating organizations to make sure the most current information is available. The display of the points are based on the NWCG Fire Size Classification applied to the daily acres attribute. Current Perimeters: This layer displays fire perimeters posted to the National Incident Feature Service. It is updated from operational data and may not reflect current conditions on the ground. For a better understanding of the workflows involved in mapping and sharing fire perimeter data, see the National Wildfire Coordinating Group Standards for Geospatial Operations. Update Frequency: Every 15 minutes using the Aggregated Live Feed Methodology based on the following filters: Events modified in the last 7 days Events that are not given a Fire Out Date Incident Type Kind: Fires Incident Type Category: Prescribed Fire, Wildfire, and Incident Complex

Area Covered: United States What can I do with this layer? The data includes basic wildfire information, such as location, size, environmental conditions, and resource summaries. Features can be filtered by incident name, size, or date keeping in mind that not all perimeters are fully attributed. Attribute Information This is a list of attributes that benefit from additional explanation. Not all attributes are listed. Incident Type Category: This is a breakdown of events into more specific categories. Wildfire (WF) -A wildland fire originating from an unplanned ignition, such as lightning, volcanos, unauthorized and accidental human caused fires, and prescribed fires that are declared wildfires. Prescribed Fire (RX) - A wildland fire originating from a planned ignition in accordance with applicable laws, policies, and regulations to meet specific objectives. Incident Complex (CX) - An incident complex is two or more individual incidents in the same general proximity that are managed together under one Incident Management Team. This allows resources to be used across the complex rather than on individual incidents uniting operational activities. IrwinID: Unique identifier assigned to each incident record in both point and perimeter layers.

Acres: these typically refer to the number of acres within the current perimeter of a specific, individual incident, including unburned and unburnable islands. Discovery: An estimate of acres burning upon the discovery of the fire. Calculated or GIS:  A measure of acres calculated (i.e., infrared) from a geospatial perimeter of a fire. Daily: A measure of acres reported for a fire. Final: The measure of acres within the final perimeter of a fire. More specifically, the number of acres within the final fire perimeter of a specific, individual incident, including unburned and unburnable islands.

Dates: the various systems contribute date information differently so not all fields will be populated for every fire. FireDiscovery: The date and time a fire was reported as discovered or confirmed to exist. May also be the start date for reporting purposes.

Containment: The date and time a wildfire was declared contained. Control: The date and time a wildfire was declared under control. ICS209Report: The date and time of the latest approved ICS-209 report. Current: The date and time a perimeter is last known to be updated. FireOut: The date and time when a fire is declared out. ModifiedOnAge: (Integer) Computed days since event last modified. DiscoveryAge: (Integer) Computed days since event's fire discovery date. CurrentDateAge: (Integer) Computed days since perimeter last modified. CreateDateAge: (Integer) Computed days since perimeter entry created.

GACC: A code that identifies one of the wildland fire geographic area coordination centers. A geographic area coordination center is a facility that is used for the coordination of agency or jurisdictional resources in support of one or more incidents within a geographic coordination area. Fire Mgmt Complexity: The highest management level utilized to manage a wildland fire event. Incident Management Organization: The incident management organization for the incident, which may be a Type 1, 2, or 3 Incident Management Team (IMT), a Unified Command, a Unified Command with an IMT, National Incident Management Organization (NIMO), etc. This field is null if no team is assigned. Unique Fire Identifier: Unique identifier assigned to each wildland fire. yyyy = calendar year, SSUUUU = Point Of Origin (POO) protecting unit identifier (5 or 6 characters), xxxxxx = local incident identifier (6 to 10 characters) Revisions Jan 4, 2021: Added Integer fields 'Days Since...' to Current_Incidents point layer and  Current_Perimeters polygon layer. These fields are computed when the data is updated, reflecting the current number of days since each record was last updated. This will aid in making 'age' related, cache friendly queries. Mar 12, 2021: Added second set of 'Age' fields for Event and Perimeter record creation, reflecting age in Days since service data update. Apr 21, 2021: Current_Perimeters polygon layer is now being populated by NIFC's newest data source. A new field was added, 'IncidentTypeCategory' to better distinguish Incident types for Perimeters and now includes type 'CX' or Complex Fires. Five fields were not transferrable, and as a result 'Comments', 'Label', 'ComplexName', 'ComplexID', and 'IMTName' fields will be Null moving forward. Apr 26, 2021: Updated Incident Layer Symbology to better clarify events, reduce download size and overhead of symbols. Updated Perimeter Layer Symbology to better distingish between Wildfires and Prescribed Fires. May 5, 2021: Slight modification to Arcade logic for Symbology, refining Age comparison to Zero for fires in past 24-hours. Aug 16, 2021: Enabled Time Series capability on Layers (off by default) using 'Fire Discovery Date' for Incidents and 'Creation Date' for Perimeters. This layer is provided for informational purposes and is not monitored 24/7 for accuracy and currency. If you would like to be alerted to potential issues or simply see when this Service will update next, please visit our Live Feed Status Page!","Fire,Fires,IRWIN,NIFC,NIFC Open Data,Forest Service,Wildfire,Wildfires,Wildland Fire,environment,esri_environment,earth_observations,Perimeter,Incident,Live Feed,Risk,Landscape,Hazardst,Hazards,IncidentFire",This layer shows wildfires that have been updated within the past 7 days in the United States from IRWIN and NIFC information.,,"Source: US Department of the Interior, Office of Wildland Fire",This work is licensed under the Esri Master License Agreement. View Summary | View Terms of Use,en-us,https://services9.arcgis.com/RHVPKKiFTONKtxq3/arcgis/rest/services/USA_Wildfires_v1/FeatureServer,public,custom,Esri,"-141.24669999999998,25.411025231000053,-67.86756218399995,65.02641000000006",
1598f17340034a1aa378eeb33497948c,jill.mathias@coloradosprings.gov_coloradosprings,"Thu, 29 Aug 2013 17:36:19 GMT","Thu, 06 Mar 2025 00:24:03 GMT",Colorado Springs Snow Routes,Web Map,"Background Despite the infrequency of storms, the City of Colorado Springs Streets  Division must be prepared for minor and major snowstorms from September  through May. The City's Streets Division is responsible for approximately  6,480 lane miles of roadway, extending over a 202 square mile area.  While average annual snowfall stands at 42 inches, snow can pile up  quickly, at varying rates throughout the City. Elevation and wind can  compound accumulation, causing an immediate impact on the City's  mobility. Hence, the need for safe and passable streets is a priority  for the Streets Division. Route Type Primary Routes, which are multi-lane roads with large volumes of traffic or hospital access, are treated first. Once the primary routes are passable, snow crews move on to Secondary Routes, which includes school access and collector streets that serve as the  main connections between neighborhoods and primary roads. If  there is continuous snowfall, the Primary Routes may have to be plowed  more than once, which will delay the response on secondary streets. Street Treatments The City uses three materials on City streets.  The first material is  called ""anti-skid"" and is used on most snow routes.  Anti-skid can  contain up to 20 percent salt, and is used to aid in vehicle traction.   The second material is used on many of the City's thoroughfares and is  called ""IceSlicer.""  This material is a de-icer and will lower the  freezing temperature of water.  IceSlicer will work down to around 10  degrees. The third material is “APEX” and is a liquid. It is applied to the roadway before a storm or right as snow begins to fall. It is intended to help stop the bond of snow/ice to the roadway and aids in clean-up after the storms conclusion. For more information about the City of Colorado Springs Street Division, please click here State and County Roads All State and County roads are maintained by their own staff. For information on snow removal on State or County roads, call: CDOT winter road conditions, (303) 639-1111 CDOT road maintenance office (Colorado Springs), (719) 634-2323 or (719) 576-1868 El Paso County Department of Transportation office, (719) 520-6460 Contact information City of Colorado Springs Streets Division, (719) 385-5934 24-Hour Answering Service, (719) 278-8352 Streets Division automated snow hotline, (719) 385-SNOW National Weather Service Forecast information for Colorado Springs, (303) 573-6846 What to Know for Snow City information - WinterStorms For more information please check out the Snow Plow Information site HERE","Snow Route,Snow,Public Works,Colorado Springs,Antiskid,salt,Salt,Iceslicer","Snow Routes; Ice Slicer, Primary, Secondary and Salt",,,"City of Colorado Springs on behalf of the Colorado Springs Utilities.  All rights reserved.  This work, and/or the data contained hereon, may not be reproduced, modified, distributed, republished, used to prepare derivative works, publicly displayed or commercially exploited in any manner without the prior express written consent of the City of Colorado Springs and Colorado Springs Utilities. This work was prepared utilizing the best data available at the time of plot file creation date and is intended for internal use only.  Neither the City of Colorado Springs, the Colorado Springs Utilities, nor any of their employees makes any warranty, express or implied, or assumes any legal liability or responsibility for accuracy, completeness, or usefulness of any data contained hereon.  The City of Colorado Springs, Colorado Springs Utilities and their employees explicitly disclaim any responsibility for the data contained hereon.",en-us,,public,custom,City of Colorado Springs GIS,"-104.93817389526171,38.78905377828117,-104.65012610473474,38.93381485386255",
8cffb013ed1c4cc4aeb7582c36a0fcf6,ColoradoDOT_GIS,"Mon, 27 Aug 2018 17:58:39 GMT","Wed, 05 Mar 2025 23:14:50 GMT",CDOT Right of Way (ROW) Project Archive,Feature Service,"Description The data represents highway centerlines for all known historical CDOT right of way (ROW) project extents. Most features have URLs that link to authoritative ROW documents. Last Update Ongoing Update Frequency As needed Data Owner Division of Transportation Development Data Contact GIS Support Unit Collection Method Projection NAD83 / UTM zone 13N Coverage Area Statewide Temporal Disclaimer/Limitations This real property and/or right-of-way geographic information system (GIS) data and any related documents are for reference only and may not be suitable for legal, engineering, or surveying purposes. The Colorado Department of Transportation, and its employees and agents, make no warranty, express or implied, as to the accuracy, completeness, or usefulness of any information and assumes no liability for errors or consequences from use. Verifying the accuracy, completeness or usefulness of this data is the responsibility of the user.","Authoritative,Public,CDOT,ROW,Right of Way,Projects,Survey",Linear dataset representing all known CDOT right of way (ROW) projects.,,,Creative Commons License This work is licensed under a Creative Commons Attribution-ShareAlike 4.0 Generic License.,en-us,https://dtdapps.coloradodot.info/arcgis/rest/services/CPLAN/open_data_sde/FeatureServer/1,public,CC-BY-SA-4.0,CDOT ArcGIS Online,"-109.269,36.9269,-101.9183,41.0356",
93d39d27f75f42aebd902ddaa4692598,ColoradoDOT_GIS,"Tue, 25 Jun 2024 19:06:06 GMT","Wed, 05 Mar 2025 23:14:09 GMT",CDOT Right of Way (ROW) Boundaries,Feature Service,"Description The baseline features in this dataset were created by a vendor for CDOT during the ROW/real property data modernization project which began in 2015. In March 2020 CDOT took over maintenance and life cycle of the data. The source files used to create the baseline dataset were right of way project plans. The features in this dataset were either digitized from georeferenced PDF source files or created directly from the source Microstation DGN files using the CDOT CAD to GIS conversion tool. Any data gaps along state highways should be assumed to be missing right of way areas where no source files could be located. Last Update Ongoing Update Frequency As Needed Data Owner Division of Transportation Development Data Contact GIS Support Unit Collection Method Projection NAD 1983 / UTM Zone 13N Coverage Area Statewide Temporal Disclaimer/Limitations This real property and/or right-of-way geographic information system (GIS) data and any related documents are for reference only and may not be suitable for legal, engineering, or surveying purposes. The Colorado Department of Transportation, and its employees and agents, make no warranty, express or implied, as to the accuracy, completeness, or usefulness of any information and assumes no liability for errors or consequences from use. Verifying the accuracy, completeness or usefulness of this data is the responsibility of the user.","CDOT,Roadway,right of way,boundary,ROW",Polygon features representing Colorado Department of Transportation right of way (ROW) boundaries.,,,Creative Commons License This work is licensed under a Creative Commons Attribution-ShareAlike 4.0 Generic License.,en-us,https://dtdapps.coloradodot.info/arcgis/rest/services/CPLAN/open_data_sde/FeatureServer/36,public,CC-BY-SA-4.0,CDOT ArcGIS Online,,
be1bb766bf1c44a9be97bbb7c04355ff,esri_livefeeds2,"Fri, 07 Jun 2019 15:34:43 GMT","Wed, 05 Mar 2025 22:19:03 GMT",National Weather Service Snowfall Forecast,Feature Service,"This map displays the expected total accumulation of new snow over the next 72 hours across the contiguous United States. Data are updated hourly from the National Digital Forecast Database produced by the National Weather Service. The dataset includes incremental and cumulative snowfall data in 6-hour intervals. In the ArcGIS Online map viewer you can enable the time animation feature and select either the amount by time (incremental) or accumulation by time (cumulative) layers to view a 72-hour animation of forecast precipitation. All times are reported according to your local time zone. Where is the data coming from? The National Digital Forecast Database (NDFD) was designed to provide access to weather forecasts in digital form from a central location. The NDFD produces gridded forecasts of sensible weather elements. NDFD contains a seamless mosaic of digital forecasts from National Weather Service (NWS) field offices working in collaboration with the National Centers for Environmental Prediction (NCEP). All of these organizations are under the administration of the National Oceanic and Atmospheric Administration (NOAA). Source: https://tgftp.nws.noaa.gov/SL.us008001/ST.opnl/DF.gr2/DC.ndfd/AR.conus/VP.001-003/ds.snow.bin Where can I find other NDFD data? The Source data is downloaded and parsed using the Aggregated Live Feeds methodology to return information that can be served through ArcGIS Server as a map service or used to update Hosted Feature Services in Online or Enterprise. What can you do with this layer? This map service is suitable for data discovery and visualization. Identify features by clicking on the map to reveal the pre-configured pop-ups. View the time-enabled data using the time slider by Enabling Time Animation. This map is provided for informational purposes and is not monitored 24/7 for accuracy and currency. If you would like to be alerted to potential issues or simply see when this Service will update next, please visit our Live Feed Status Page!","Esri,NOAA,NDFD,NWS,NCEP,Snowfall,Forecast,ALF,esri_earthobs,earth observations,livefeeds,hosted",Snowfall forecast for the next 72 hours across the Continental United States.,,Source: National Weather Service,This work is licensed under the Esri Master License Agreement. View Summary | View Terms of Use,en-us,https://services9.arcgis.com/RHVPKKiFTONKtxq3/arcgis/rest/services/NDFD_SnowFall_v1/FeatureServer,public,custom,Esri,"-122.25977409090315,33.816572660210454,-103.52150393322074,48.785824262199675",
