name,description,category,base_url,organization,organization_contact
State Minimum Wage Rate for Colorado,"The state minimum wage rate for Colorado by year, dating all the way back to 1968","['fred', 'labor and employment', 'minimum wage', 'colorado']",https://data.colorado.gov/resource/cz77-cmtz.json,,Colorado Information Marketplace
Average Weekly & Hourly Earnings and Work Hours Across Major Industry Sectors in Colorado,"This dataset contains monthly employment, hours, and earnings in considerable 
industrial detail for Colorado and it's major cities.  This includes all nonagricultural industries including governmet","['colorado', 'employment', 'hours', 'earnings', 'industry', 'non-agricultural']",https://data.colorado.gov/resource/pbjn-ur9h.json,,Colorado Information Marketplace
2025 Fort Collins City Employee Base Pay,"City employee base salary as of 2025-01-14. 

The 2025 data provides base salaries for every position's compensation. The data represents a snapshot of base salaries for all employees as of 2025-01-14 for the City of Fort Collins in an hourly rate or annual salary format for 2025 rather than a forecasted amount of actual salary payments for 2025. Personnel spending data can be found on openbook.fcgov.com","['2025', 'employee salary', 'base pay', 'hourly rate']",https://data.colorado.gov/resource/3ahc-jpuf.json,,Tim Campbell
Pending Renewals for Liquor Licenses in Colorado,Pending Renewals data for Colorado. This includes retailers whose liquor license renewals have been received by the Division and are waiting processing or fee payment.,"['pending renewals', 'retailer renewal', 'renewal status']",https://data.colorado.gov/resource/s52i-qvky.json,,Colorado Information Marketplace
Festival Permits in Colorado,"Festival permits data for Colorado, including participating license information, festival names, festival permit issue dates, and festival locations.","['liquor festival', 'festival permit', 'festival regulation', 'festival location']",https://data.colorado.gov/resource/vspf-kbgi.json,,Colorado Information Marketplace
Highway Managed Access and Toll Lanes in Colorado 2023,Inventory of Managed Access and Toll Lanes operated by Colorado Department of Transportation circa 2023,"['highway', 'transportation', 'cdot', 'managed access', 'toll']",https://data.colorado.gov/resource/gagb-cxcb.json,,Colorado Information Marketplace
Tobacco Licenses,"Tobacco retailer data for Colorado, including license information, business names, and addresses (DOR)","['tobacco retailer', 'tobacco licenses', 'tobacco regulations', 'tobacco license expiration dates', 'tobacco store locations']",https://data.colorado.gov/resource/ejz2-rwds.json,,Colorado Information Marketplace
Metro Districts in Colorado,"Aggregated from thousands of local jurisdictions by the Colorado Department of Local Affairs Demography office. Many of the district boundaries were created from scanned drawings or digitized PDFs, and therefore no guarantee of accuracy can be made for the data.",[],https://data.colorado.gov/resource/szft-nc4z.json,,brian.rohde@state.co.us
Highway Quality in Colorado 2023,"Highway segments and the various quality assurance data along with the overall grade, from the 2023 review of the Colorado Department of Transportation (CDOT).","['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'highways', 'roads', 'quality', 'grade', 'conditions', 'concrete']",https://data.colorado.gov/resource/nquh-ekc2.json,,Colorado Information Marketplace
Census in Colorado 2022,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis']",https://data.colorado.gov/resource/k2s5-8q64.json,,Colorado Information Marketplace
Census Places in Colorado 2022,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/ubwq-3qag.json,,Colorado Information Marketplace
Census Block Groups in Colorado 2022,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'covid19', 'colorado', 'census', 'acs', 'american community survey', 'counties', 'subdivisions', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis', '2018']",https://data.colorado.gov/resource/ejfh-k2j3.json,,Colorado Information Marketplace
Census Tracts in Colorado 2022,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'census tracts', 'tracts', 'gis']",https://data.colorado.gov/resource/6jh5-9jez.json,,Colorado Information Marketplace
Census Counties in Colorado 2022,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/3pi5-edxd.json,,Colorado Information Marketplace
