Parameter,Count
Shape__Length,511
Shape__Area,469
FID,336
INPUT_DATE,333
EDIT_DATE,331
ACTIVITYCO,311
OBJECTID,247
Name,65
Note,61
BufferDist,48
UpdateComm,48
Species_Ac,48
Activity_C,47
NAME,41
HU_12_NAME,34
COUNTY,31
STATE,31
COMMENTS,29
SOURCE,25
CITY,23
GlobalID,21
POPULATION,19
Species,19
TAG_VALUE,18
SQMI,18
OWNER,17
tile,14
path,14
AcresGISCa,14
SqMilesGIS,14
POP_SQMI,14
FIPS,13
STATE_ABBR,13
info_,13
STATE_FIPS,13
url,12
GEOID,12
SHAPE__Area,11
lastupdate,11
SHAPE__Length,11
COUNTY_FIPS,10
lgname,10
mail_city,10
FUNCSTAT,10
prev_name,10
lgid,10
alt_address,10
mail_address,10
mail_zip,10
lgtypeid,10
mail_state,10
lgstatusid,10
source,10
abbrev_name,10
STATE_NAME,10
FACILITY,9
LATITUDE,9
FAA_ID,9
AREA,9
BASENAME,9
INTL,9
DEPARTURES,9
TOWER,9
ARRIVALS,9
ENPLANEMEN,9
PASSENGERS,9
ELEV_FEET,9
Direction,9
MTFCC,9
POPULATION_2020,8
LSADC,8
EndRefPoint,8
HighwayNumber,8
POP20_SQMI,8
Highway,8
LONGITUDE,8
Longitude,8
Latitude,8
City,8
PERIMETER,8
INTPTLON,7
INTPTLAT,7
REGION,7
DeltaDir,7
PROP_TYPE,7
WindSpeed,7
WindGust,7
DeltaGust,7
DEPT,7
WindDir,7
State,7
DeltaSpeed,7
IntervalStart,7
ID,7
TRACK_STATUS,6
ACCURACY,6
EXIS_COND,6
HIST_SIG,6
VERI_HIST,6
COMPASS_NO,6
VERI_DATE,6
OPS_END,6
OTHER_NOTE,6
FUNDING,6
DATA_STATUS,6
Photo2,6
OPS_START,6
County,6
fromdate,6
name,6
todate,6
label,6
Shape_Leng,6
Photo1,6
CNSTRCTN_CO,6
OPERATING_CO,6
LINE_ID,6
ObjID,6
LOCATION,6
POP100,6
CNSTRCTN_DT,6
SEG_ID,6
LINE_NM,6
TECH_DESCRIPTION,6
TECH_GAUGE,6
TECH_HORSE,6
TECH_CBL,6
TECH_ELEC,6
HU100,6
AREALAND,6
CENTLON,5
ADDRESS,5
CENTLAT,5
resolution,5
photo_date,5
TRACT,5
ST,5
QQNAME,5
area,5
StateUnemploymentRate,5
project,5
gid,5
STATUS,5
QUADRANT,5
StatePerCapitaIncome,5
StatePopulationGrowth,5
UnemploymentBenchmark,5
PerCapitaIncomeBenchmark,5
STCOFIPS,5
PopulationGrowthBenchmark,5
QKEY,5
GNIS,5
AREAWATER,5
MX,5
Region,5
FileName,5
