Parameter,Count
ACCOUNTNO,4
ID,7
STREETSUF,4
LOCCITY,3
SPACE,1
the_geom,266
REMARKS,2
PARK_NAME,2
OBJECTID,73
GlobalID,10
STREETNAME,4
PARCELNB,3
STREETNO,3
Counties,70
Phone,5
Notes,2
ParcelNo,1
created_us,3
Address,11
Syringe,1
last_edite,4
Name,9
LiquidMed,1
last_edi_1,3
URL,22
created_da,3
SolidMed,1
treatmentCategory,5
fy,5
estimate,5
emp,87
description,8
mtcPreservation,2
pavementManagementMatch,2
centerLength,4
comments,3
bmp,9
pavementTrafficCategory,5
highway,5
region,20
location,6
dateLastConfirmed,2
streetAddress,3
zip,8
mediaKeys,1
location (city),3
id,17
geocodeStatus,2
paymentKeys,1
location (state),3
name,13
longitude,5
businessHours,1
latitude,5
phone,6
location (address),3
city,22
location (zip),3
manufacturerKeys,1
intersectionDirections,2
updatedAt,2
createdAt,1
publicNotes,1
state,18
FUNCCLASS,1
COMMDISTID,1
VCRATIO,8
VMT,1
REGION,11
AADTDERIV,18
TOMEAS,10
SPEEDLIM,6
PRISURF,7
PRIRDL,1
DESCRIPTIO,9
PRIDLCLASS,1
AADTSINGLE,13
MEDIAN,5
AADT20,1
DHTRK,2
TERRAIN,7
TPRID,10
FROMMEAS,10
ACCESS_,7
AADTYR,18
MEDIANWD,5
COUNTY,24
VCRATIO20,8
PRIOUTSHLD,5
MPOID,4
ROUTE,37
AADTCOMB,13
ALIAS,1
THRULNQTY,13
POPULATION,14
AADT,18
THRULNWD,7
OFFPKTRK,10
REFPT,18
CITY,18
SEG_LENGTH,8
ROUTESIGN,5
ISDIVIDED,4
ENDREFPT,18
FIPSCITY,5
NHSDESIG,14
Shape_STLe,11
PRIOUTSH_1,4
FIPSCOUNTY,17
urban,1
crops,1
state_name,1
secmill,1
primmill,1
forest,1
County,69
manure,1
landfill,1
total,1
gid,18
totalPrice,2
otherCustomers,1
industrialRevenue,1
year,42
transportationPrice,1
totalCustomers,1
industrialCustomers,1
transportationCustomers,1
residentialSales,1
industrialPrice,2
transportationRevenue,1
